date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:27	45809/45809	---M--	200	added ('OK')	text/html	etag:%22593d6420-b2f1%22	http://www.uigrid.com/html/fitmate/	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/index.html	(from )
15:25:28	69/69	---MCZ	200	added ('OK')	text/plain	date:Fri,%2019%20Jul%202019%2009:55:52%20GMT	http://www.uigrid.com/robots.txt		(from )
15:25:28	360/360	---M--	200	added ('OK')	image/png	etag:%22168-5511a693a9600%22	http://www.uigrid.com/html/fitmate/assets/img/favicon.png	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/favicon.png	(from http://www.uigrid.com/html/fitmate/)
15:25:29	31000/31000	---M--	200	added ('OK')	text/css	etag:%22590d4138-7918%22	http://www.uigrid.com/html/fitmate/assets/css/font-awesome.min.css	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/css/font-awesome.min.css	(from http://www.uigrid.com/html/fitmate/)
15:25:30	7457/7457	---M--	200	added ('OK')	text/css	etag:%22590d4138-1d21%22	http://www.uigrid.com/html/fitmate/assets/css/normalize.css	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/css/normalize.css	(from http://www.uigrid.com/html/fitmate/)
15:25:30	2795/2795	---M--	200	added ('OK')	text/css	etag:%22593980ea-aeb%22	http://www.uigrid.com/html/fitmate/assets/css/plugins/slick.css	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/css/plugins/slick.css	(from http://www.uigrid.com/html/fitmate/)
15:25:31	6991/6991	---M--	200	added ('OK')	text/css	etag:%22591fed56-1b4f%22	http://www.uigrid.com/html/fitmate/assets/css/plugins/magnific-popup.css	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/css/plugins/magnific-popup.css	(from http://www.uigrid.com/html/fitmate/)
15:25:33	121200/121200	---M--	200	added ('OK')	text/css	etag:%22590d4138-1d970%22	http://www.uigrid.com/html/fitmate/assets/css/bootstrap.min.css	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/css/bootstrap.min.css	(from http://www.uigrid.com/html/fitmate/)
15:25:33	23155/23155	---M--	200	added ('OK')	text/css	etag:%22593d641e-5a73%22	http://www.uigrid.com/html/fitmate/assets/css/style.css	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/css/style.css	(from http://www.uigrid.com/html/fitmate/)
15:25:34	6369/6369	---M--	200	added ('OK')	text/css	etag:%22593d5e48-18e1%22	http://www.uigrid.com/html/fitmate/assets/css/responsive.css	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/css/responsive.css	(from http://www.uigrid.com/html/fitmate/)
15:25:35	1681/1681	---M--	200	added ('OK')	image/png	etag:%2259338598-691%22	http://www.uigrid.com/html/fitmate/assets/img/apple-touch-icon.png	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/apple-touch-icon.png	(from http://www.uigrid.com/html/fitmate/)
15:25:35	1561/1561	---M--	200	added ('OK')	image/png	etag:%2259338598-619%22	http://www.uigrid.com/html/fitmate/assets/img/logo.png	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/logo.png	(from http://www.uigrid.com/html/fitmate/)
15:25:51	102064/102064	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-18eb0%22	http://www.uigrid.com/html/fitmate/assets/img/courses/fitness-workout.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/courses/fitness-workout.jpg	(from http://www.uigrid.com/html/fitmate/)
15:25:58	132064/132064	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-203e0%22	http://www.uigrid.com/html/fitmate/assets/img/courses/swimming.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/courses/swimming.jpg	(from http://www.uigrid.com/html/fitmate/)
15:25:58	142089/142089	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-22b09%22	http://www.uigrid.com/html/fitmate/assets/img/courses/marathon-running.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/courses/marathon-running.jpg	(from http://www.uigrid.com/html/fitmate/)
15:26:02	71805/71805	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-1187d%22	http://www.uigrid.com/html/fitmate/assets/img/courses/yoga.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/courses/yoga.jpg	(from http://www.uigrid.com/html/fitmate/)
15:26:04	193333/193333	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-2f335%22	http://www.uigrid.com/html/fitmate/assets/img/about.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/about.jpg	(from http://www.uigrid.com/html/fitmate/)
15:26:11	79541/79541	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-136b5%22	http://www.uigrid.com/html/fitmate/assets/img/courses/zumba-dancing.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/courses/zumba-dancing.jpg	(from http://www.uigrid.com/html/fitmate/)
15:26:18	123089/123089	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-1e0d1%22	http://www.uigrid.com/html/fitmate/assets/img/courses/kick-boxing.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/courses/kick-boxing.jpg	(from http://www.uigrid.com/html/fitmate/)
15:26:21	55047/55047	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-d707%22	http://www.uigrid.com/html/fitmate/assets/img/trainer/trainer-3.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/trainer/trainer-3.jpg	(from http://www.uigrid.com/html/fitmate/)
15:26:21	119138/119138	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-1d162%22	http://www.uigrid.com/html/fitmate/assets/img/courses/cardio.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/courses/cardio.jpg	(from http://www.uigrid.com/html/fitmate/)
15:26:22	117799/117799	---M--	200	added ('OK')	image/jpeg	etag:%22593d5e48-1cc27%22	http://www.uigrid.com/html/fitmate/assets/img/courses/weight-loss.jpg	D:/Mohiddin/FWP/FWP_Net/FWP/www.uigrid.com/html/fitmate/assets/img/courses/weight-loss.jpg	(from http://www.uigrid.com/html/fitmate/)
